_PROB_,_POS_,_NEG_,_FALPOS_,_FALNEG_,_SENSIT_,_1MSPEC_,TOTAL_COST,,,,
0.767019183,451,35,20,53,0.89484127,0.363636364,33.25,,,,
0.762854079,454,34,21,50,0.900793651,0.381818182,33.5,,,,
0.768622467,449,35,20,55,0.890873016,0.363636364,33.75,,,,
0.775468864,448,35,20,56,0.888888889,0.363636364,34,,,,
0.776817381,447,35,20,57,0.886904762,0.363636364,34.25,,,,
0.763351772,451,34,21,53,0.89484127,0.381818182,34.25,,,,
0.754488769,455,33,22,49,0.902777778,0.4,34.25,,,,
0.758419901,454,33,22,50,0.900793651,0.4,34.5,,,,
0.727022348,461,31,24,43,0.91468254,0.436363636,34.75,,,,
0.728270415,460,31,24,44,0.912698413,0.436363636,35,,,,
0.780735028,443,35,20,61,0.878968254,0.363636364,35.25,,,,
0.740795874,459,31,24,45,0.910714286,0.436363636,35.25,,,,
0.783319555,442,35,20,62,0.876984127,0.363636364,35.5,,,,
0.823283669,421,40,15,83,0.83531746,0.272727273,35.75,,,,
0.741521017,457,31,24,47,0.906746032,0.436363636,35.75,,,,
0.725902626,461,30,25,43,0.91468254,0.454545455,35.75,,,,
0.710098877,465,29,26,39,0.922619048,0.472727273,35.75,,,,
0.889312295,383,49,6,121,0.759920635,0.109090909,36.25,,,,
0.80877319,427,38,17,77,0.847222222,0.309090909,36.25,,,,
0.743388035,455,31,24,49,0.902777778,0.436363636,36.25,,,,
0.890742477,382,49,6,122,0.757936508,0.109090909,36.5,,,,
0.851914331,410,42,13,94,0.813492064,0.236363636,36.5,,,,
0.816701067,426,38,17,78,0.845238095,0.309090909,36.5,,,,
0.800378457,434,36,19,70,0.861111111,0.345454546,36.5,,,,
0.789166017,438,35,20,66,0.869047619,0.363636364,36.5,,,,
0.892658063,381,49,6,123,0.755952381,0.109090909,36.75,,,,
0.885648671,389,47,8,115,0.771825397,0.145454546,36.75,,,,
0.8552145,409,42,13,95,0.811507937,0.236363636,36.75,,,,
0.791898989,437,35,20,67,0.867063492,0.363636364,36.75,,,,
0.715384676,461,29,26,43,0.91468254,0.472727273,36.75,,,,
0.708459632,465,28,27,39,0.922619048,0.490909091,36.75,,,,
0.895723827,380,49,6,124,0.753968254,0.109090909,37,,,,
0.887522829,384,48,7,120,0.761904762,0.127272727,37,,,,
0.883007862,392,46,9,112,0.777777778,0.163636364,37,,,,
0.85593086,408,42,13,96,0.80952381,0.236363636,37,,,,
0.829128505,416,40,15,88,0.825396825,0.272727273,37,,,,
0.889312278,383,48,7,121,0.759920635,0.127272727,37.25,,,,
0.858451604,407,42,13,97,0.807539683,0.236363636,37.25,,,,
